date,AA,IBM,T,VOD,^GSPC
5/11/2012,19.83047854,138.6608674,20.75295909,16.57850503,1414.015015
6/11/2012,19.97957901,140.2553861,20.79783152,16.73916049,1425.320007
7/11/2012,19.61256367,138.4976624,20.17258339,16.65883008,1408.205017
8/11/2012,19.33729608,137.439585,20.07984155,16.59085999,1389.369995
9/11/2012,19.3717036,136.9428701,19.87342019,16.47346058,1382.210022
12/11/2012,19.33729553,136.1007825,20.22045173,16.37150589,1381.029968
13/11/2012,19.19966975,136.4426612,20.3999393,15.87408522,1380.100037
14/11/2012,18.87852628,134.7943654,20.32814506,15.77213536,1366.315002
15/11/2012,18.59179222,133.8694687,20.07983926,15.66091086,1354.335022
16/11/2012,18.55738363,134.1142405,19.83452725,15.52187647,1352.690002
19/11/2012,18.99322034,136.2843057,19.92427863,15.73814571,1373.38501
20/11/2012,18.86705583,136.1655235,20.13070241,15.95055063,1383.405029
21/11/2012,18.97028542,136.6982129,20.18454874,15.97893345,1388.820007
23/11/2012,19.05056529,138.2996735,20.40891487,15.98208749,1400.095032
26/11/2012,19.03909901,138.605558,20.34908391,15.94424252,1403.415039
27/11/2012,19.15378818,138.2133019,20.21745462,15.8401761,1403.52002
28/11/2012,19.00468818,137.2272037,20.00803895,15.87486494,1397.870056
29/11/2012,19.32582961,137.8713876,20.29523844,16.17130038,1414.369995
30/11/2012,19.23407449,137.2955734,20.42686925,16.27536435,1415.244995
3/12/2012,19.26848257,136.6334079,20.47174721,16.25328927,1416.094971
4/12/2012,19.31435867,136.6729838,20.3251536,16.18706465,1408.39502
5/12/2012,19.55521921,135.4601853,20.36704015,16.16498866,1406.89502
6/12/2012,19.58962729,136.2483359,20.24139154,16.35420359,1409.940002
7/12/2012,19.54374732,137.587073,20.11274809,16.34159084,1415.619995
10/12/2012,19.56668887,138.62353,20.1486497,16.35735282,1418.640015
11/12/2012,19.80754328,139.6168468,20.3550668,16.37627713,1426.410034
12/12/2012,19.87635845,139.3505262,20.62133052,16.3951978,1432.674988
13/12/2012,19.80754132,138.3464392,20.60935578,16.49926372,1423.679993
14/12/2012,19.88782446,138.4328043,20.45379077,16.35104767,1415.664978
17/12/2012,19.96811351,138.7962985,20.41190739,16.13030236,1422.105042
18/12/2012,20.25484348,140.2682573,20.46575746,16.0041639,1439.234985
19/12/2012,20.03693184,140.8764331,20.40892284,16.02939004,1441.775024
20/12/2012,19.84194917,139.6743896,20.34908368,16.00415755,1438.259949
21/12/2012,19.69285153,138.9402703,20.24138223,15.88748315,1433.125
24/12/2012,19.68137677,138.8610385,20.17557325,15.89693893,1427.405029
26/12/2012,20.00252369,138.3680196,20.20848043,15.8117922,1422.925049
27/12/2012,19.8304769,138.188121,20.06488621,15.88748033,1412.300049
28/12/2012,19.60109472,137.4935138,20.02000765,15.84332956,1409.839966
31/12/2012,19.69284938,136.9429083,19.99307792,15.83702378,1412.424988
2/1/2013,20.44982394,140.4086048,20.70509365,16.16183651,1444.309998
3/1/2013,20.75949641,140.6172929,20.92348455,16.01992698,1460.5
4/1/2013,21.08064111,139.3613544,21.02220183,16.177603,1463.464966
7/1/2013,21.09211044,138.9582407,21.1209266,16.50872661,1461.544983
8/1/2013,20.95447902,138.5191616,21.00206006,16.51502907,1456.765015
