date,A,AMZN,HRB,NFLX,TSLA,YAHOY
3/6/2013,30.08847364,266.0299988,21.17820248,31.79071426,18.58699989,9.126506329
4/6/2013,30.40299319,265.9499969,20.79691323,31.86571312,18.88199997,9.253011703
5/6/2013,29.75738841,268.3399963,20.69523606,31.88571548,18.70800018,9.159638405
6/6/2013,29.53888173,267.3549957,20.8005428,31.38571453,19.43799973,9.39759016
7/6/2013,30.0818533,274.6150055,21.50865791,31.17642784,19.96000004,9.737951756
10/6/2013,29.74414844,278.8549957,21.65754854,31.38499928,20.10900021,9.765059948
11/6/2013,29.34353846,276.3249969,21.43603462,31.00499916,19.27299976,9.927710533
12/6/2013,29.34023186,273.625,21.17093675,30.19285679,19.62300014,9.945783138
13/6/2013,29.20780348,273.5449982,20.81054663,30.09285641,19.44000053,9.969879627
14/6/2013,29.27401583,275.2550049,21.00069347,30.68642902,20.18499947,9.689759254
17/6/2013,29.48590413,277.9250031,21.14696571,32.4464283,20.59500027,10.16265059
18/6/2013,29.4925252,280.5099945,21.28592323,32.67142868,20.31799984,10.12650633
19/6/2013,29.26076707,280.6049957,21.4468207,33.10642815,20.86800003,10.06626511
20/6/2013,28.12848665,275.4950104,20.8324826,32.25285721,20.65799999,9.656626225
21/6/2013,28.34037451,272.8150024,20.73741127,31.47000027,20.11999989,9.743976116
24/6/2013,28.08213124,269.0800018,20.24009438,30.57714367,19.81699944,9.638554573
25/6/2013,28.08544403,271.2350006,20.36442497,30.07571411,20.47500038,9.683734894
26/6/2013,28.33043634,275.7400055,20.6825612,30.64785767,20.85299969,9.506023884
27/6/2013,28.40990057,277.3700104,20.75569551,30.45214367,21.63799953,9.804216862
28/6/2013,28.56561677,278.0099945,20.45949795,30.45357132,21.61499977,9.903614044
1/7/2013,28.77809902,280.2250061,20.59845574,31.23785591,22.69200039,10.21084356
2/7/2013,28.83122031,283.5849915,20.55091179,31.81928444,23.73900032,10.18373537
3/7/2013,28.61209702,283.6999969,20.36808105,31.63928509,23.35200024,10.18072271
5/7/2013,29.11342593,284.2250061,20.56920373,31.75571346,23.59799957,10.14156628
8/7/2013,29.47862748,288.905014,20.96412652,32.9107132,24.10000038,10.22289133
9/7/2013,29.64795055,290.2900085,21.21644383,34.44857216,24.72299957,10.00602436
10/7/2013,29.93346618,291.3699951,21.45047679,34.72214127,24.40400028,10.09638548
11/7/2013,30.34848291,296.3950043,21.81614995,35.0014286,24.84399986,10.25602388
12/7/2013,30.38831824,303.0249939,22.43414133,35.94142914,25.44500065,10.2018075
15/7/2013,30.53107738,306.1699982,22.25130859,36.56999969,26.00800037,10.25602436
16/7/2013,30.62736217,307.4500122,22.0465263,37.36214256,23.36199951,10.64759064
17/7/2013,30.43479621,307.2449951,22.10503547,37.63785744,22.61199951,10.78915644
18/7/2013,30.4115574,304.1049957,22.42316543,38.16500092,23.89099979,11.08734941
19/7/2013,30.53439641,303.8500061,22.64623224,37.93785667,23.70600033,11.27710867
22/7/2013,30.85976617,305.625,22.50727152,37.56214333,24.65600014,11.55421638
23/7/2013,30.92615861,302.8099976,22.62429155,36.31642914,24.73799992,11.38253021
24/7/2013,30.97597048,300.9400024,22.51093268,35.17499924,24.40600014,11.55421734
25/7/2013,30.97264354,300.625,22.40488943,34.82642937,24.49400043,11.31325293
26/7/2013,30.5410408,304.5849915,22.32443668,34.84214211,25.72900009,10.88554287
29/7/2013,30.10611534,309.4499969,22.29518451,35.22642899,26.36199951,10.68975925
30/7/2013,30.01979745,305.6750031,22.57309597,34.97999954,26.56699944,10.66265059
31/7/2013,29.86707311,303.0749969,22.99362201,34.93142891,26.6420002,10.68975878
1/8/2013,30.38499807,302.5549927,23.31175378,35.32642937,26.91499996,10.85843372
2/8/2013,30.71036228,303.4149933,23.2495984,35.29571342,27.18599987,10.85843372
5/8/2013,30.61076857,300.9599915,23.23862709,35.37714195,28.45400047,10.85843372
6/8/2013,30.48791654,299.4399872,23.05944566,36.26428604,28.68299961,10.87650585
7/8/2013,30.57091342,298.5699921,22.99362306,36.15214348,27.43099976,10.7951808
8/8/2013,30.60743998,295.5349884,23.08138573,35.88214302,30.93399906,10.51807165
9/8/2013,30.63400102,296.7849884,23.01921993,35.96500015,30.72000027,10.5481925
12/8/2013,30.620722,297.1699982,22.89489012,36.24428558,29.25500011,10.18072271
13/8/2013,30.9494052,293.5200043,22.9387699,36.81857109,29.4289999,10.03614521
14/8/2013,30.9992012,292.4150085,22.7851843,37.27214241,28.28900051,10.06325293
15/8/2013,31.54701852,287.2249908,22.02458284,36.56071281,27.85999966,9.936747074
16/8/2013,31.12204808,286.4149933,21.6698838,36.52000046,28.48799992,9.963855743
19/8/2013,30.99588003,286.5200043,21.39196945,37.2321434,29.02099991,10.13855457
20/8/2013,31.0224452,287.625,21.10674479,38.28857231,29.6779995,10.22590351
21/8/2013,31.16852409,286.1649933,21.07748981,38.72500038,29.65600014,10.10240984
22/8/2013,31.58353577,287.3349915,21.16524444,38.69214249,30.56200027,10.24397612
23/8/2013,31.71964913,289.6999969,21.16524882,39.10071564,31.72999954,10.31325293
26/8/2013,31.73625629,288.3349915,21.30786932,40.28428459,33.32499886,10.40361452
27/8/2013,31.27144235,282.5099945,20.89099789,40.02714348,32.97499847,10.20180702
28/8/2013,31.03573418,281.1649933,20.70449939,40.10000038,33.47500038,10.22289133
29/8/2013,31.02576673,282.9900055,20.64965202,41.00500107,33.02599907,10.12048149
30/8/2013,30.99256652,282.4349976,20.52166081,40.84142876,33.31699944,9.909638405
3/9/2013,31.25152991,287.780014,20.54360255,41.09000015,34.01000023,10.01204777
4/9/2013,31.44077468,291.4049988,19.94755653,41.43214226,33.71800041,10.06927681
