date,AAP,FB,GOOG,MSFT,^DJI
26/10/2012,65.78937757,22.37999916,337.2932281,23.23114495,13095.94482
31/10/2012,67.40069812,21.11499977,337.7340851,23.72736236,13120.5752
1/11/2012,74.5574189,21.22500038,341.1263733,24.14087442,13186.41016
2/11/2012,77.71719394,21.38000011,344.4389496,24.43860638,13183.01025
5/11/2012,77.58169837,21.19999981,339.3330994,24.4261996,13089.64502
6/11/2012,78.35111362,21.18000031,339.7390747,24.73219492,13201.8252
7/11/2012,77.76077291,20.6600008,334.9246216,24.34763666,13052.45996
8/11/2012,77.74140509,20.35499954,329.4451599,24.05403733,12895.73535
9/11/2012,76.81716995,19.56499958,328.4289703,23.98373018,12816.79004
12/11/2012,76.31393897,19.52000046,331.4252472,23.66119759,12822.14014
13/11/2012,76.73005775,19.83500004,330.2197571,22.53401796,12823.37988
14/11/2012,76.16391213,21.21500015,326.9445343,22.55069594,12670.20508
15/11/2012,74.9155093,22.07499981,324.7577362,22.34640976,12548.57471
16/11/2012,74.95420413,23.05500031,321.0516205,22.11294174,12537.83008
19/11/2012,75.1767854,23.47000027,329.8760376,22.20882502,12693.21045
20/11/2012,75.292892,23.30000019,334.3891296,22.20466048,12754.81494
21/11/2012,75.17193643,23.78999996,331.3081818,22.44647374,12816.06006
23/11/2012,75.85423411,24.27999973,332.7776642,22.91757585,12922.21533
26/11/2012,75.79614419,25.44999981,330.2670898,22.82585874,12954.31006
27/11/2012,74.567078,25.97999954,332.0055542,22.68827279,12924.2251
28/11/2012,74.69290263,26.11999989,335.9408112,22.57988015,12877.20996
29/11/2012,70.36210701,26.84000015,342.690506,22.60490026,13012.23975
30/11/2012,71.07824703,27.38000011,344.9346008,22.35475022,13021.20996
3/12/2012,70.72503754,27.92999935,348.6930084,22.1879844,13023.37012
4/12/2012,70.11046939,27.22000027,344.0130463,22.0837539,12981.29004
5/12/2012,70.15402301,27.57999992,342.9221344,22.17547778,13006.27539
6/12/2012,69.80564673,27.28499985,343.7415619,22.34223707,13042.35986
7/12/2012,69.57821642,27.31000042,343.5373383,22.17547502,13115.0752
10/12/2012,69.68465812,27.63500023,342.575943,22.30054862,13167.21484
11/12/2012,70.58954547,27.94999981,346.1126709,22.73830565,13238.45508
12/12/2012,71.64925346,27.75500011,347.9433289,22.80501776,13278.44043
13/12/2012,70.84115948,28.09000015,352.6830444,22.70912421,13205.80029
14/12/2012,70.63792033,27.54500008,350.2496796,22.4422975,13154.43506
17/12/2012,70.70565632,26.65999985,355.1537933,22.47148584,13189.47998
18/12/2012,70.70083868,27.40499973,359.6893005,22.83419321,13299.22021
19/12/2012,70.41039047,27.58500004,358.5759583,22.92174602,13304.72021
20/12/2012,69.92125065,27.36499977,359.0591583,22.85920868,13265.33496
21/12/2012,68.56525029,26.56500053,356.0006256,22.7174631,13216.24023
24/12/2012,68.4247979,26.57999992,354.3343658,22.61740073,13159.46484
26/12/2012,68.42480564,26.77999973,352.5012512,22.47148264,13125.875
27/12/2012,68.58461916,26.15999985,350.5485535,22.37142609,13052.91016
28/12/2012,69.07858028,25.63000011,350.4165497,22.28387168,13011.16016
31/12/2012,69.66458636,26.55000019,350.3293762,22.15463244,12996.50977
2/1/2013,70.43945665,27.80000019,359.539856,22.88005676,13258.50488
3/1/2013,70.49756866,28.02999973,361.8063507,22.85087026,13394.44971
4/1/2013,70.72030023,28.38000011,365.9159546,22.54235641,13411.67041
7/1/2013,71.16586287,29.22000027,366.117691,22.3130547,13389.7251
8/1/2013,70.60894727,29.2300005,363.8188171,22.20049003,13335.2749
9/1/2013,70.43460573,30.04500008,365.3680115,22.22550628,13372.81494
10/1/2013,69.77112361,30.86500072,368.2447205,22.20882784,13430.24512
11/1/2013,70.32805511,31.52999973,368.3020172,22.1838182,13468.32471
14/1/2013,70.09072991,31.41499996,364.7702637,22.44646678,13490.00977
15/1/2013,70.33772408,30.79499912,360.4240417,22.56320421,13496.08496
16/1/2013,71.09322529,29.94000053,358.1600342,22.61323079,13501.9248
17/1/2013,71.34990519,30.22500038,356.3293915,22.734135,13572.06494
18/1/2013,71.20462054,29.8550005,352.2048492,22.65075415,13610.89502
22/1/2013,71.69856691,30.31499958,348.9072113,22.7007895,13667.58496
23/1/2013,72.02302953,31.14999962,369.8113556,22.86338022,13752.20996
24/1/2013,72.5412081,31.14999962,372.9371338,23.1552141,13829.49512
25/1/2013,72.85118617,31.52999973,375.7740021,23.18856385,13860.65527
28/1/2013,73.59213059,32.15999889,374.4688873,23.34282652,13889.14502
29/1/2013,72.79791365,31.38999939,374.4689026,23.23443266,13925
30/1/2013,71.86324074,31.18499947,377.051712,23.32615149,13931.54004
31/1/2013,71.23368452,30.10499954,375.5597992,23.08434416,13900.81982
1/2/2013,71.19007948,30.32499981,382.2422638,23.18023567,13940.18018
4/2/2013,70.63798151,28.6050005,380.7578278,23.11352419,13938.31006
5/2/2013,70.61378872,28.5,381.2161102,22.93842072,13946.83984
6/2/2013,70.68641637,28.97500038,381.4352722,22.84253898,13952.39502
7/2/2013,74.90455433,28.71000004,384.635788,22.71746056,13920.12988
8/2/2013,76.38647975,28.84000015,390.0953217,22.93842605,13983.33496
11/2/2013,75.61646002,28.36000061,387.7341766,23.10518718,13966.68994
12/2/2013,75.61644906,27.63000011,390.3543549,23.24276267,14003.95508
13/2/2013,76.02325637,27.81499958,389.8686676,23.34282487,13987.56494
14/2/2013,76.66737696,28.31999969,390.1650696,23.31780717,13956.15039
15/2/2013,76.08622029,28.42000008,393.6071625,23.36367475,13954.33008
19/2/2013,77.49065976,28.60000038,399.074173,23.49405118,14011.36035
20/2/2013,77.64561219,28.68999958,398.6955872,23.55290826,13988.7749
21/2/2013,76.8126585,27.84999943,397.6769104,23.10732277,13880.97021
22/2/2013,76.56082671,27.22499943,397.2734222,23.22081829,13940.90527
25/2/2013,76.56567563,27.3949995,398.2323151,23.29648303,13932.79492
26/2/2013,75.23387068,27.07999992,393.6121521,23.09470928,13851.30518
27/2/2013,74.4832208,26.98499966,397.475174,23.25864953,13992.52539
28/2/2013,74.54618427,26.81999969,400.5038147,23.41839054,14099.66504
1/3/2013,73.74710793,27.46500015,399.3257294,23.33011488,14022.34473
4/3/2013,74.26530176,27.75,405.4403229,23.47723833,14079.29004
5/3/2013,74.68179326,27.69499969,415.7043457,23.83454895,14207.09521
6/3/2013,74.19750075,27.73999977,416.6408234,23.54449563,14286.8252
7/3/2013,73.82947094,28.07499981,414.9944916,23.66219784,14325.46533
